"ID","L","NL"
"CR243213",0,0
"CR244177",0,0.71
"CR244178",0,0.71
"CR244179",0,0.71
"CR244180",0,0.71
"CR244181",0,0.71
"CR244182",0,0.71
"CR244183",0,0.71
"CR244184",0,0.71
"CR244185",0,0.71
"CR244186",0,0.71
"CR244187",0,0.71
"CR244188",0,0.71
"CR244189",0,0.71
"CR244190",0,0.71
"CR244191",0,0.71
"CR244192",0,0.71
"CR244193",0,0.71
"CR244194",0,0.71
"CR244195",0,0.71
"CR244196",0,0.71
"CR244197",0,0.71
"CR244198",0,0.71
"CR244199",0,0.71
"CR244200",0,0.71
"CR244201",0,0.71
"CR244202",0,0.71
"CR244203",0,0.71
"CR244204",0,0.71
"CR244205",0,0.71
"CR244206",0,0.7375
"CR244207",0,0.7375
"CR244208",0,0.7375
"CR244209",0,0.7375
"CR244210",0,0.7375
"CR244211",0,0.71
"CR244212",0,0.71
"CR244213",0,0.71
"CR244214",0,0
"CR244215",0,0
"CR244220",0,0
"CR244221",0,0
"CR245177",0,0.71
"CR245178",0,0.71
"CR245179",0,0.71
"CR245180",0,0.71
"CR245181",0,0.71
"CR245182",0,0.71
"CR245183",0,0.71
"CR245184",0,0.71
"CR245185",0,0.71
"CR245186",0,0.71
"CR245187",0,0.71
"CR245188",0,0.71
"CR245189",0,0.71
"CR245190",0,0.71
"CR245191",0,0.71
"CR245192",0,0.71
"CR245193",0,0.71
"CR245194",0,0.71
"CR245195",0,0.71
"CR245196",0,0.71
"CR245197",0,0.71
"CR245198",0,0.71
"CR245199",0,0.71
"CR245200",0,0.71
"CR245201",0,0.71
"CR245202",0,0.71
"CR245203",0,0.71
"CR245204",0,0.71
"CR245205",0,0.71
"CR245206",0,0.71
"CR245207",0,0.7375
"CR245208",0,0.7375
"CR245209",0,0.7375
"CR245210",0,0.71
"CR245211",0,0.71
"CR245212",0,0.71
"CR245213",0,0
"CR245214",0,0
"CR245215",0,0
"CR245216",0,0
"CR245217",0,0
"CR245218",0,0
"CR245219",0,0
"CR245220",0,0
"CR245221",0,0
"CR245222",0,0
"CR245223",0,0
"CR245224",0,0
"CR245225",0,0
"CR245241",0,0
"CR246177",0,0.71
"CR246178",0,0.71
"CR246179",0,0.71
"CR246180",0,0.71
"CR246181",0,0.71
"CR246182",0,0.71
"CR246183",0,0.71
"CR246184",0,0.71
"CR246185",0,0.71
"CR246186",0,0.71
"CR246187",0,0.71
"CR246188",0,0.71
"CR246189",0,0.71
"CR246190",0,0.71
"CR246191",0,0.71
"CR246192",0,0.71
"CR246193",0,0.71
"CR246194",0,0.71
"CR246195",0,0.71
"CR246196",0,0.71
"CR246197",0,0.71
"CR246198",0,0.71
"CR246199",0,0.71
"CR246200",0,0.71
"CR246201",0,0.71
"CR246202",0,0.71
"CR246203",0,0.71
"CR246204",0,0.71
"CR246205",0,0.71
"CR246206",0,0.71
"CR246207",0,0.71
"CR246208",0,0.7375
"CR246209",0,0.71
"CR246210",0,0.71
"CR246211",0,0.71
"CR246212",0,0.7375
"CR246213",0,0
"CR246214",0,0
"CR246215",0,0
"CR246216",0,0
"CR246217",0,0
"CR246218",0,0
"CR246219",0,0
"CR246220",0,0
"CR246221",0,0
"CR246222",0,0
"CR246223",0,0
"CR246224",0,0.7375
"CR246225",0,0.7375
"CR246240",0,0
"CR246241",0,0
"CR247177",0,0.71
"CR247178",0,0.71
"CR247179",0,0.71
"CR247180",0,0.71
"CR247181",0,0.71
"CR247182",0,0.71
"CR247183",0,0.71
"CR247184",0,0.71
"CR247185",0,0.71
"CR247186",0,0.71
"CR247187",0,0.71
"CR247188",0,0.71
"CR247189",0,0.71
"CR247190",0,0.71
"CR247191",0,0.71
"CR247192",0,0.71
"CR247193",0,0.71
"CR247194",0,0.71
"CR247195",0,0.71
"CR247196",0,0.71
"CR247197",0,0.71
"CR247198",0,0.71
"CR247199",0,0.71
"CR247200",0,0.71
"CR247201",0,0.71
"CR247202",0,0.71
"CR247203",0,0.71
"CR247204",0,0.71
"CR247205",0,0.71
"CR247206",0,0.71
"CR247207",0,0.71
"CR247208",0,0.71
"CR247209",0,0.71
"CR247210",0,0.71
"CR247211",0,0.7375
"CR247212",0,0.7375
"CR247213",0,0.7375
"CR247214",0,0
"CR247215",0,0
"CR247216",0,0
"CR247217",0,0
"CR247218",0,0
"CR247219",0,0
"CR247220",0,0
"CR247221",0,0.7375
"CR247222",0,0.7375
"CR247223",0,0.7375
"CR247224",0,0.7375
"CR247225",0,0.7375
"CR247239",0,0
"CR247240",0,0
"CR247241",0,0
"CR248176",0,0.71
"CR248177",0,0.71
"CR248178",0,0.71
"CR248179",0,0.71
"CR248180",0,0.71
"CR248181",0,0.71
"CR248182",0,0.71
"CR248183",0,0.71
"CR248184",0,0.71
"CR248185",0,0.71
"CR248186",0,0.71
"CR248187",0,0.71
"CR248188",0,0.71
"CR248189",0,0.71
"CR248190",0,0.71
"CR248191",0,0.71
"CR248192",0,0.71
"CR248193",0,0.71
"CR248194",0,0.71
"CR248195",0,0.71
"CR248196",0,0.71
"CR248197",0,0.71
"CR248198",0,0.71
"CR248199",0,0.71
"CR248200",0,0.71
"CR248201",0,0.71
"CR248202",0,0.71
"CR248203",0,0.71
"CR248204",0,0.71
"CR248205",0,0.71
"CR248206",0,0.7375
"CR248207",0,0.7375
"CR248208",0,0.71
"CR248209",0,0.7375
"CR248210",0,0.7375
"CR248211",0,0.7375
"CR248212",0,0.7375
"CR248213",0,0
"CR248214",0,0
"CR248215",0,0
"CR248216",0,0
"CR248217",0,0
"CR248218",0,0
"CR248219",0,0
"CR248220",0,0
"CR248221",0,0.7375
"CR248222",0,0.7375
"CR248223",0,0.7375
"CR248224",0,0.7375
"CR248225",0,0.7375
"CR248238",0,0
"CR248239",0,0
"CR248240",0,0
"CR248241",0,0
"CR248242",0,0
"CR249176",0,0.71
"CR249177",0,0.71
"CR249178",0,0.71
"CR249179",0,0.71
"CR249180",0,0.71
"CR249181",0,0.71
"CR249182",0,0.71
"CR249183",0,0.71
"CR249184",0,0.71
"CR249185",0,0.71
"CR249186",0,0.71
"CR249187",0,0.71
"CR249188",0,0.71
"CR249189",0,0.71
"CR249190",0,0.71
"CR249191",0,0.71
"CR249192",0,0.71
"CR249193",0,0.71
"CR249194",0,0.71
"CR249195",0,0.71
"CR249196",0,0.71
"CR249197",0,0.71
"CR249198",0,0.71
"CR249199",0,0.71
"CR249200",0,0.71
"CR249201",0,0.71
"CR249202",0,0.71
"CR249203",0,0.71
"CR249204",0,0.71
"CR249205",0,0.71
"CR249206",0,0.7375
"CR249207",0,0.7375
"CR249208",0,0.7375
"CR249209",0,0.7375
"CR249210",0,0.7375
