"ID","Year","soyarea"
"CR226183","X2010",0
"CR226183","X2012",0
"CR226184","X2005",0
"CR226184","X2010",0
"CR226184","X2012",0
"CR226185","X2005",0
"CR226185","X2010",0
"CR226185","X2012",0
"CR226186","X2005",0
"CR226186","X2010",0
"CR226186","X2012",0
"CR226187","X2005",0
"CR226187","X2010",0
"CR226187","X2012",0
"CR226188","X2005",0
"CR226188","X2010",0
"CR226188","X2012",0
"CR226189","X2005",0
"CR226189","X2010",0
"CR226189","X2012",0
"CR226190","X2005",0
"CR226190","X2010",0
"CR226190","X2012",0
"CR226191","X2005",0
"CR226191","X2010",0
"CR226191","X2012",0
"CR226192","X2005",0
"CR226192","X2010",0
"CR226192","X2012",0.000769927341025323
"CR226193","X2005",0
"CR226193","X2010",0
"CR226193","X2012",0.00269426614977419
"CR226194","X2005",0
"CR226194","X2010",0
"CR226194","X2012",0.00488003855571151
"CR226195","X2005",0
"CR226195","X2010",0
"CR226195","X2012",0.000315022276481614
"CR226196","X2005",0
"CR226196","X2010",0
"CR226196","X2012",0
"CR226197","X2005",0
"CR226197","X2010",0
"CR226197","X2012",0.00249671237543225
"CR226198","X2005",0
"CR226198","X2010",0
"CR226198","X2012",0.557629704475403
"CR226199","X2005",0
"CR226199","X2010",0
"CR226199","X2012",1.00477087497711
"CR226200","X2005",8.25838565826416
"CR226200","X2010",15.3023443222046
"CR226200","X2012",0.622350931167603
"CR226201","X2005",5.89722108840942
"CR226201","X2010",10.6048469543457
"CR226201","X2012",0
"CR227178","X2005",0
"CR227178","X2010",0
"CR227178","X2012",0
"CR227179","X2005",0
"CR227179","X2010",0
"CR227179","X2012",0
"CR227180","X2005",0
"CR227180","X2010",0
"CR227180","X2012",0
"CR227181","X2005",0
"CR227181","X2010",0
"CR227181","X2012",0
"CR227182","X2005",0
"CR227182","X2010",0
"CR227182","X2012",0
"CR227183","X2005",0
"CR227183","X2010",0
"CR227183","X2012",0
"CR227184","X2005",0
"CR227184","X2010",0
"CR227184","X2012",0
"CR227185","X2005",0
"CR227185","X2010",0
"CR227185","X2012",0
"CR227186","X2005",0
"CR227186","X2010",0
"CR227186","X2012",0
"CR227187","X2005",0
"CR227187","X2010",0
"CR227187","X2012",0
"CR227188","X2005",0
"CR227188","X2010",0
"CR227188","X2012",0
"CR227189","X2005",0
"CR227189","X2010",0
"CR227189","X2012",0
"CR227190","X2005",0
"CR227190","X2010",0
"CR227190","X2012",0
"CR227191","X2005",0
"CR227191","X2010",0
"CR227191","X2012",0.000130120301037095
"CR227192","X2005",0
"CR227192","X2010",0
"CR227192","X2012",0.0151567300781608
"CR227193","X2005",0
"CR227193","X2010",0
"CR227193","X2012",0.00164423871319741
"CR227194","X2005",0
"CR227194","X2010",0
"CR227194","X2012",0.0211393963545561
"CR227195","X2005",0
"CR227195","X2010",0
"CR227195","X2012",0.00178894319105893
"CR227196","X2005",0
"CR227196","X2010",0
"CR227196","X2012",0.0360419861972332
"CR227197","X2005",0
"CR227197","X2010",0
"CR227197","X2012",0.00977626536041498
"CR227198","X2005",0
"CR227198","X2010",0
"CR227198","X2012",1.69577670097351
"CR227199","X2005",0
"CR227199","X2010",0
"CR227199","X2012",0.521958768367767
"CR227200","X2005",11.5171451568604
"CR227200","X2010",12.767861366272
"CR227200","X2012",11.2185258865356
"CR227201","X2005",0.503278613090515
"CR227201","X2010",1.04215490818024
"CR227201","X2012",0
"CR228179","X2005",0
"CR228179","X2010",0
"CR228179","X2012",0
"CR228180","X2005",0
"CR228180","X2010",0
"CR228180","X2012",0
"CR228181","X2005",0
"CR228181","X2010",0
"CR228181","X2012",0
"CR228182","X2005",0
"CR228182","X2010",0
"CR228182","X2012",0
"CR228183","X2005",0
"CR228183","X2010",0
"CR228183","X2012",0
"CR228184","X2005",0
"CR228184","X2010",0
"CR228184","X2012",0
"CR228185","X2005",0
"CR228185","X2010",0
"CR228185","X2012",0
"CR228186","X2005",0
"CR228186","X2010",0
"CR228186","X2012",0
"CR228187","X2005",0
"CR228187","X2010",0
"CR228187","X2012",0
"CR228188","X2005",0
"CR228188","X2010",0
"CR228188","X2012",0
"CR228189","X2005",0
"CR228189","X2010",0
"CR228189","X2012",0
"CR228190","X2005",0
"CR228190","X2010",0
"CR228190","X2012",0
"CR228191","X2005",0
"CR228191","X2010",0
"CR228191","X2012",0.00301995873451233
"CR228192","X2005",0
"CR228192","X2010",0
"CR228192","X2012",0.0113245872780681
"CR228193","X2005",0
"CR228193","X2010",0
"CR228193","X2012",0.00185485417023301
"CR228194","X2005",0
"CR228194","X2010",0
"CR228194","X2012",0.0358764119446278
"CR228195","X2005",0
"CR228195","X2010",0
"CR228195","X2012",0.00481877801939845
"CR228196","X2005",0
"CR228196","X2010",0
"CR228196","X2012",0.0725290104746819
"CR228197","X2005",0
"CR228197","X2010",0
"CR228197","X2012",0.00805932935327291
"CR228198","X2005",0
"CR228198","X2010",0
"CR228198","X2012",0.0435045063495636
"CR228199","X2005",1.39258217811584
"CR228199","X2010",1.35541093349457
"CR228199","X2012",1.92779874801636
"CR228200","X2005",23.1456489562988
"CR228200","X2010",24.2521667480469
"CR228200","X2012",26.1706657409668
"CR229179","X2005",0
"CR229179","X2010",0
"CR229179","X2012",0
"CR229180","X2005",0
"CR229180","X2010",0
"CR229180","X2012",0
"CR229181","X2005",0
"CR229181","X2010",0
"CR229181","X2012",0
"CR229182","X2005",0
"CR229182","X2010",0
"CR229182","X2012",0
"CR229183","X2005",0
"CR229183","X2010",0
"CR229183","X2012",0
"CR229184","X2005",0
"CR229184","X2010",0
"CR229184","X2012",0
"CR229185","X2005",0
"CR229185","X2010",0
"CR229185","X2012",0
"CR229186","X2005",0
"CR229186","X2010",0
"CR229186","X2012",0
"CR229187","X2005",0
"CR229187","X2010",0
"CR229187","X2012",0
"CR229188","X2005",0
"CR229188","X2010",0
"CR229188","X2012",0
"CR229189","X2005",0
"CR229189","X2010",0
"CR229189","X2012",0
"CR229190","X2005",0
"CR229190","X2010",0
"CR229190","X2012",0
"CR229191","X2005",0
"CR229191","X2010",0
"CR229191","X2012",0.00105264782905579
"CR229192","X2005",0
"CR229192","X2010",0
"CR229192","X2012",0.0341489911079407
"CR229193","X2005",0
"CR229193","X2010",0
"CR229193","X2012",0.03109978325665
"CR229194","X2005",0
"CR229194","X2010",0
"CR229194","X2012",0.0125614069402218
"CR229195","X2005",0
"CR229195","X2010",0
"CR229195","X2012",0.00699590286239982
"CR229196","X2005",0
"CR229196","X2010",0
"CR229196","X2012",0.106877468526363
"CR229197","X2005",0
"CR229197","X2010",0
"CR229197","X2012",0.0227098315954208
"CR229198","X2005",0
"CR229198","X2010",0
"CR229198","X2012",0.00735979992896318
"CR229199","X2005",1.49733769893646
"CR229199","X2010",1.73253500461578
"CR229199","X2012",2.61359333992004
"CR229200","X2005",15.2247648239136
"CR229200","X2010",17.3872394561768
"CR229200","X2012",19.0694885253906
"CR230178","X2005",0
"CR230178","X2010",0
"CR230178","X2012",0
"CR230179","X2005",0
"CR230179","X2010",0
"CR230179","X2012",0
"CR230180","X2005",0
"CR230180","X2010",0
"CR230180","X2012",0
"CR230181","X2005",0
"CR230181","X2010",0
"CR230181","X2012",0
"CR230182","X2005",0
"CR230182","X2010",0
"CR230182","X2012",0
"CR230183","X2005",0
"CR230183","X2010",0
"CR230183","X2012",0
"CR230184","X2005",0
"CR230184","X2010",0
"CR230184","X2012",0
"CR230185","X2005",0
"CR230185","X2010",0
"CR230185","X2012",0
"CR230186","X2005",0
"CR230186","X2010",0
"CR230186","X2012",0
"CR230187","X2005",0
"CR230187","X2010",0
"CR230187","X2012",0
"CR230188","X2005",0
"CR230188","X2010",0
"CR230188","X2012",0
"CR230189","X2005",0
"CR230189","X2010",0
"CR230189","X2012",0
"CR230190","X2005",0
"CR230190","X2010",0
"CR230190","X2012",0
"CR230191","X2005",0
"CR230191","X2010",0
"CR230191","X2012",0
"CR230192","X2005",0
"CR230192","X2010",0
"CR230192","X2012",0.0206331368535757
"CR230193","X2005",0
"CR230193","X2010",0
"CR230193","X2012",0.0219334494322538
"CR230194","X2005",0
"CR230194","X2010",0
"CR230194","X2012",0.00954635720700026
"CR230195","X2005",0
"CR230195","X2010",0
"CR230195","X2012",0.0857030749320984
"CR230196","X2005",0
"CR230196","X2010",0
"CR230196","X2012",0.114017143845558
"CR230197","X2005",0
"CR230197","X2010",0
"CR230197","X2012",0.0442882925271988
"CR230198","X2005",0
"CR230198","X2010",0
"CR230198","X2012",0.362840086221695
"CR230199","X2005",0.495439380407333
"CR230199","X2010",0.636002600193024
"CR230199","X2012",1.09067010879517
"CR230200","X2005",13.0190410614014
"CR230200","X2010",15.4689064025879
"CR230200","X2012",17.9859294891357
"CR230201","X2005",35.4264030456543
"CR230201","X2010",37.4384155273438
"CR230201","X2012",40.805061340332
"CR230202","X2005",0.129966020584106
"CR230202","X2010",0.159453839063644
"CR230202","X2012",0.204280331730843
"CR230203","X2005",0
"CR230203","X2010",0
"CR230203","X2012",0
"CR230204","X2005",0
"CR230204","X2010",0
"CR230204","X2012",0
"CR231172","X2005",0.687990069389343
"CR231172","X2010",0.249099910259247
"CR231172","X2012",0.829017281532288
"CR231173","X2005",0.391192585229874
"CR231173","X2010",0.182180613279343
"CR231173","X2012",0.66688346862793
"CR231178","X2005",0
"CR231178","X2010",0
"CR231178","X2012",0
"CR231179","X2005",0
"CR231179","X2010",0
"CR231179","X2012",0
"CR231180","X2005",0
"CR231180","X2010",0
"CR231180","X2012",0
"CR231181","X2005",0
"CR231181","X2010",0
"CR231181","X2012",0
"CR231182","X2005",0
"CR231182","X2010",0
"CR231182","X2012",0
"CR231183","X2005",0
"CR231183","X2010",0
"CR231183","X2012",0
"CR231184","X2005",0
"CR231184","X2010",0
"CR231184","X2012",0
"CR231185","X2005",0
"CR231185","X2010",0
"CR231185","X2012",0
"CR231186","X2005",0
"CR231186","X2010",0
"CR231186","X2012",0
"CR231187","X2005",0
"CR231187","X2010",0
"CR231187","X2012",0
"CR231188","X2005",0
"CR231188","X2010",0
"CR231188","X2012",0
"CR231189","X2005",0
"CR231189","X2010",0
"CR231189","X2012",0
"CR231190","X2005",0
"CR231190","X2010",0
"CR231190","X2012",0
"CR231191","X2005",0
"CR231191","X2010",0
"CR231191","X2012",0
"CR231192","X2005",0
"CR231192","X2010",0
"CR231192","X2012",0.179611369967461
"CR231193","X2005",0
"CR231193","X2010",0
"CR231193","X2012",0.0870808288455009
"CR231194","X2005",0
"CR231194","X2010",0
"CR231194","X2012",0.318706959486008
"CR231195","X2005",0
"CR231195","X2010",0
"CR231195","X2012",0.612277686595917
"CR231196","X2005",0
"CR231196","X2010",0
"CR231196","X2012",0.151338741183281
"CR231197","X2005",0
"CR231197","X2010",0
"CR231197","X2012",0.0754327103495598
"CR231198","X2005",0.0602823123335838
"CR231198","X2010",0.0982407033443451
"CR231198","X2012",0.494855403900146
"CR231199","X2005",11.2092447280884
"CR231199","X2010",12.6991777420044
"CR231199","X2012",15.7183895111084
"CR231200","X2005",17.8214569091797
"CR231200","X2010",27.8331680297852
"CR231200","X2012",37.3581809997559
"CR231201","X2005",41.872989654541
"CR231201","X2010",47.646369934082
"CR231201","X2012",55.3819313049316
"CR231202","X2005",0.360331028699875
"CR231202","X2010",0.45037978887558
"CR231202","X2012",0.533395111560822
"CR231203","X2005",0
"CR231203","X2010",0
"CR231203","X2012",0
