"","ID","Produ"
"704","CR261214",3.70970388676702
"705","CR261215",3.57698420939559
"706","CR261216",3.59490639582361
"707","CR261217",3.44058947241504
"708","CR261218",3.55184576083461
"709","CR261219",3.09191471093303
"710","CR261220",3.42594629780309
"711","CR261221",3.39928934932752
"712","CR261222",2.6203206590621
"713","CR261223",3.01777298850575
"714","CR261224",3.18659259259259
"715","CR261225",2.888
"716","CR261226",2.50937572282424
"717","CR261227",2.00557436893204
"718","CR261228",1.85364375
"719","CR261229",1.99863084594223
"720","CR261230",2.2238392108087
"721","CR261231",2.25615944915111
"722","CR261232",2.3622491942324
"723","CR261233",2.40215716814159
"724","CR261234",2.32245446224256
"725","CR261235",2.3156
"726","CR261236",2.34766666666667
"727","CR262195",3.07711111111111
"728","CR262196",2.9094
"729","CR262197",2.64376923076923
"730","CR262198",3.1105
"731","CR262200",2.92215189873418
"732","CR262201",3.284
"733","CR262202",3.26793069306931
"734","CR262203",3.341
"735","CR262204",3.269
"736","CR262205",3.27227505486467
"737","CR262206",3.279206095791
"738","CR262207",3.365825
"739","CR262208",3.21823350253807
"740","CR262209",3.49684367816092
"741","CR262210",3.38810263157895
"742","CR262211",3.07060803212851
"743","CR262212",3.3151821192053
"744","CR262213",3.43862264150943
"745","CR262214",3.62506436781609
"746","CR262215",3.5150452922383
"747","CR262216",3.50628098035616
"748","CR262217",3.65062793650794
"749","CR262218",3.37482776708373
"750","CR262219",3.267
"751","CR262220",3.0063675898931
"752","CR262221",3.57378834604772
"753","CR262222",3.55488235294118
"754","CR262223",3.24334493670886
"755","CR262224",3.00902127659574
"756","CR262225",2.48424050632911
"757","CR262226",2.4508533577737
"758","CR262227",1.87299638633377
"759","CR262228",1.84230889540567
"760","CR262229",1.87471144967682
"761","CR262230",2.44945535714286
"762","CR262231",2.39397674418605
"763","CR262232",2.38179716466739
"764","CR262233",2.45028248587571
"765","CR262234",2.223
"766","CR263187",2.167
"767","CR263188",2.260875
"768","CR263195",2.97415384615385
"769","CR263198",2.492
"770","CR263199",2.366
"771","CR263200",3.11466666666667
"772","CR263201",3.15525333333333
"773","CR263202",3.18253191489362
"774","CR263203",3.26591397849462
"775","CR263204",3.266
"776","CR263205",3.20943425076453
"777","CR263206",3.323
"778","CR263207",3.18425
"779","CR263208",2.09152240896359
"780","CR263209",2.76878533268577
"781","CR263210",3.19285260273973
"782","CR263211",2.8885917888563
"783","CR263212",2.66272980501393
"784","CR263213",2.75347187640618
"785","CR263214",3.35561613736594
"786","CR263215",3.73829187756086
"787","CR263216",3.47590208434319
"788","CR263217",3.51918933355247
"789","CR263218",3.00277547069035
"790","CR263219",2.90743297905273
"791","CR263220",2.80838875805999
"792","CR263221",3.53227561217327
"793","CR263222",3.47167205030206
"794","CR263223",3.40806859205776
"795","CR263224",2.91496513761468
"796","CR263225",2.84133624454148
"797","CR263226",2.04626943005181
"798","CR263227",1.72124597855228
"799","CR263228",1.96802358490566
"800","CR263229",1.9986
"801","CR263232",2.46325
"802","CR263233",2.319
"803","CR264187",2.069
"804","CR264188",2.216
"805","CR264195",2.74445454545455
"806","CR264198",2.54781318681319
"807","CR264199",3.03090848214286
"808","CR264201",3.24878651685393
"809","CR264202",3.21992803970223
"810","CR264203",3.288
"811","CR264204",3.16266666666667
"812","CR264205",3.239
"813","CR264208",3.31794117647059
"814","CR264209",3.4678178613396
"815","CR264210",2.68961870503597
"816","CR264211",2.83132151117965
"817","CR264212",2.61275667148679
"818","CR264213",2.62549557318993
"819","CR264214",3.37760224948875
"820","CR264215",3.47272358346095
"821","CR264216",3.73288223630329
"822","CR264217",3.5998051948052
"823","CR264218",3.00319956307473
"824","CR264219",2.7050410358404
"825","CR264220",3.03257595574811
"826","CR264221",2.92209256469944
"827","CR264222",3.36531954963864
"828","CR264223",3.18602074736359
"829","CR264224",2.67309014084507
"830","CR264225",2.33549003984064
"831","CR264226",2.20875
"832","CR264227",1.85832033426184
"833","CR264228",1.73181605695129
"834","CR265186",1.643
"835","CR265187",2.02592941176471
"836","CR265188",1.97332835820896
"837","CR265189",2.047
"838","CR265194",2.746
"839","CR265195",2.727
"840","CR265198",2.65425308641975
"841","CR265199",2.72609369967794
"842","CR265201",3.24760606060606
"843","CR265202",2.93793000892237
"844","CR265203",3.32570588235294
"845","CR265204",3.2025
"846","CR265209",2.49424215246637
"847","CR265210",2.49246337374572
"848","CR265211",3.04435364875702
"849","CR265212",2.50836016451234
"850","CR265213",2.67093618698958
"851","CR265214",3.00006197169255
"852","CR265215",3.02712887444076
"853","CR265216",3.49964155676428
"854","CR265217",3.37343968957871
"855","CR265218",2.7941567264574
"856","CR265219",2.49012350287759
"857","CR265220",2.72221380167858
"858","CR265221",3.03928612501859
"859","CR265222",2.78523417434658
"860","CR265223",3.07330421625983
"861","CR265224",2.63994836795252
"862","CR265225",1.94084918276374
"863","CR265226",1.87681907894737
"864","CR265227",1.84838265306122
"865","CR265228",1.93748507462687
"866","CR266186",1.75958139534884
"867","CR266187",1.94
"868","CR266188",1.88645283018868
"869","CR266189",1.55818181818182
"870","CR266194",1.63664010282776
"871","CR266195",1.87148296836983
"872","CR266196",2.70794632768362
"873","CR266197",2.694
"874","CR266198",3.361
"875","CR266199",3.21605333333333
"876","CR266202",3.266
"877","CR266203",3.29585978428351
"878","CR266204",3.21114212765957
"879","CR266207",3.1635
"880","CR266208",2.62444047619048
"881","CR266209",3.26712324723247
"882","CR266210",3.57672150319663
"883","CR266211",3.37591748251748
"884","CR266212",2.79505489230769
"885","CR266213",2.71874054362289
"886","CR266214",2.4744537968785
"887","CR266215",2.88680158808933
"888","CR266216",3.12767759764186
"889","CR266217",3.09278252923977
"890","CR266218",2.70353768731827
"891","CR266219",2.46254655507398
"892","CR266220",2.07432182484389
"893","CR266221",2.02285256410256
"894","CR266222",2.36481852450188
"895","CR266223",2.6688663434903
"896","CR266224",2.52408654994031
"897","CR266225",2.31408216472447
"898","CR266226",1.89265591397849
"899","CR267185",1.275
"900","CR267186",1.927
"901","CR267187",1.905
"902","CR267194",1.4261441090555
"903","CR267195",1.62431879518072
"904","CR267196",2.59095363470773
"905","CR267197",3.05025350795136
"906","CR267198",2.97741279126641
"907","CR267199",3.29954059103261
"908","CR267200",3.294
"909","CR267203",2.68368460111317
"910","CR267204",3.1376890684815
"911","CR267205",3.13717124542125
"912","CR267206",3.09808866995074
"913","CR267207",3.19
"914","CR267209",3.46049178082192
"915","CR267210",3.53511056511056
"916","CR267211",3.33057597671752
"917","CR267212",2.91087854927225
"918","CR267213",3.28889841969864
"919","CR267214",3.36830336249605
"920","CR267215",3.43480456936226
"921","CR267216",3.43823554216867
"922","CR267217",3.0005517705065
"923","CR267218",2.69303827549947
"924","CR267219",2.46834605146406
"925","CR267220",2.26327416570771
"926","CR267221",2.39208823529412
"927","CR267222",1.79681578947368
"928","CR267223",2.16045707070707
"929","CR267224",2.19662535079514
"930","CR267225",1.73028311425683
"931","CR267226",1.83125954198473
"932","CR268186",1.528
"933","CR268191",1.16977272727273
