"","ID","Scenario","CRVl2_NPV","soyarea","Forarea","area_km2","soyperc","forperc"
"194","CR249207","IDC3NoFC",1786.0862229305,244366.944444444,3990,2997,81537.1853334816,399000
"195","CR249207","IDC3ZD",1792.95283579775,243421.944444444,3990,2997,81221.8700181663,399000
"196","CR249208","IDC3",1223.14004400386,185938.888888889,2710,2991,62166.1280136706,271000
"197","CR249208","IDC3NoFC",1224.71853509364,186456.944444444,2710,2991,62339.3328132546,271000
"198","CR249208","IDC3ZD",1223.31246200164,185997.5,2710,2991,62185.7238381812,271000
"199","CR249209","IDC3",579.273308776804,91897.7777777778,5770,2985,30786.525218686,577000
"200","CR249209","IDC3NoFC",579.878584727607,92221.1111111111,5770,2985,30894.8445933371,577000
"201","CR249209","IDC3ZD",578.745863293258,91830.2777777778,5770,2985,30763.9121533594,577000
"202","CR249210","IDC3",93.8861770154651,15803.0555555556,6191.38888888889,2978,5306.60025371241,619138.888888889
"203","CR249210","IDC3NoFC",88.1972996837218,15307.2222222222,6131.38888888889,2978,5140.10148496381,613138.888888889
"204","CR249210","IDC3ZD",93.8879942256032,15803.0555555556,6630,2978,5306.60025371241,663000
"205","CR249211","IDC3",96.1709911380649,19491.6666666667,3406.94444444444,2972,6558.43427545985,340694.444444444
"206","CR249211","IDC3NoFC",96.3992006357496,19623.3333333333,3406.94444444444,2972,6602.73665320772,340694.444444444
"207","CR249211","IDC3ZD",93.3530193481894,18169.7222222222,3679.16666666667,2972,6113.63466427396,367916.666666667
"208","CR249223","IDC3",810.287613881599,186291.111111111,260,2873,64842.0157017442,26000
"209","CR249223","IDC3NoFC",810.287613881599,186291.111111111,260,2873,64842.0157017442,26000
"210","CR249223","IDC3ZD",798.703764452782,184511.944444444,260,2873,64222.7443245543,26000
"211","CR249224","IDC3",1016.06085527427,220887.222222222,1930,2863,77152.365428649,193000
"212","CR249224","IDC3NoFC",1016.06085527427,220887.222222222,1930,2863,77152.365428649,193000
"213","CR249224","IDC3ZD",1016.06085527427,220887.222222222,1930,2863,77152.365428649,193000
"214","CR250202","IDC3",60.7268764509692,7744.72222222222,9670,3025,2560.23875114784,967000
