"","Year","ID","L","NL","NVloss","crfrac","DT_NL","DT_L","DT_luc"
"566","X2005","CR241213",1.015,1.6985,0.266709701722324,0.00546224759164618,0.453006428375367,0.00554418130552087,0.458550609680888
"567","X2010","CR241213",1.015,1.6985,0.446359957108859,0.00546224759164618,0.758142387149398,0.00554418130552087,0.763686568454919
"568","X2012","CR241213",1.015,1.6985,0.376943386061232,0.00546224759164618,0.640238341225002,0.00554418130552087,0.645782522530523
"569","X2015","CR241213",1.015,1.6985,0.29878270453836,0.00546224759164618,0.507482423658404,0.00554418130552087,0.513026604963925
"570","X2015","CR274215",1.015,1.603,0.00565454533351092,0,0.009064236169618,0,0.009064236169618
"571","X2000","CR249192",1.015,1.6985,0.00815702206098278,6.15421275007368e-06,0.0138547019705793,6.24652594132478e-06,0.0138609484965206
"572","X2005","CR249192",1.015,1.6985,0.0195393608990077,6.15421275007368e-06,0.0331876044869646,6.24652594132478e-06,0.0331938510129059
"573","X2010","CR249192",1.015,1.6985,0.0215678161803517,6.15421275007368e-06,0.0366329357823274,6.24652594132478e-06,0.0366391823082688
"574","X2012","CR249192",1.015,1.6985,0.0204586550237668,6.15421275007368e-06,0.034749025557868,6.24652594132478e-06,0.0347552720838093
"575","X2015","CR249192",1.015,1.6985,0.0190895981524106,6.15421275007368e-06,0.0324236824618694,6.24652594132478e-06,0.0324299289878107
"576","X2000","CR254192",1.015,1.6985,0.0013388853981171,0,0.00227409684870189,0,0.00227409684870189
"577","X2005","CR254192",1.015,1.6985,0.0371088779821975,0,0.0630294292527625,0,0.0630294292527625
"578","X2010","CR254192",1.015,1.6985,0.0471993748248548,0,0.0801681381400159,0,0.0801681381400159
"579","X2012","CR254192",1.015,1.6985,0.049601146304285,0,0.0842475469978281,0,0.0842475469978281
"580","X2015","CR254192",1.015,1.6985,0.0516711845165959,0,0.0877635069014381,0,0.0877635069014381
"581","X2000","CR270192",1.015,1.603,0.0101733589511852,0,0.0163078943987499,0,0.0163078943987499
"582","X2005","CR270192",1.015,1.603,0.0190490842393284,0,0.0305356820356434,0,0.0305356820356434
"583","X2010","CR270192",1.015,1.603,0.0287305160823435,0,0.0460550172799967,0,0.0460550172799967
"584","X2012","CR270192",1.015,1.603,0.0383650331669978,0,0.0614991481666975,0,0.0614991481666975
"585","X2015","CR270192",1.015,1.603,0.0590238512173714,0,0.0946152335014464,0,0.0946152335014464
"586","X2000","CR256202",1.015,1.6985,0.29372492376821,0.0172983879719923,0.498891783020304,0.0175578637915722,0.516449646811876
"587","X2005","CR256202",1.015,1.6985,0.395426507596644,0.0172983879719923,0.6716319231529,0.0175578637915722,0.689189786944472
"588","X2010","CR256202",1.015,1.6985,0.432119153523286,0.0172983879719923,0.7339543822593,0.0175578637915722,0.751512246050873
"589","X2012","CR256202",1.015,1.6985,0.440652275978864,0.0172983879719923,0.748447890750101,0.0175578637915722,0.766005754541673
"590","X2015","CR256202",1.015,1.6985,0.432467477646862,0.0172983879719923,0.734546010783194,0.0175578637915722,0.752103874574766
"591","X2000","CR269202",1.015,1.603,0.0593257388727691,0.19178192856593,0.0950991594130488,0.194658657494419,0.289757816907468
"592","X2005","CR269202",1.015,1.603,0.111040419651653,0.19178192856593,0.177997792701599,0.194658657494419,0.372656450196018
"593","X2010","CR269202",1.015,1.603,0.222959687709861,0.19178192856593,0.357404379398907,0.194658657494419,0.552063036893326
"594","X2012","CR269202",1.015,1.603,0.297109545631801,0.19178192856593,0.476266601647778,0.194658657494419,0.670925259142196
"595","X2015","CR269202",1.015,1.603,0.340187679889591,0.19178192856593,0.545320850863014,0.194658657494419,0.739979508357433
"596","X2000","CR234202",1.015,1.6985,0.0373561124617622,0,0.0634493570163031,0,0.0634493570163031
"597","X2005","CR234202",1.015,1.6985,0.0682208267638481,0,0.115873074258396,0,0.115873074258396
"598","X2010","CR234202",1.015,1.6985,0.0760326371092128,0,0.129141434129998,0,0.129141434129998
"599","X2012","CR234202",1.015,1.6985,0.0787699162599995,0,0.133790702767609,0,0.133790702767609
"600","X2015","CR234202",1.015,1.6985,0.0818700848666043,0,0.139056339145927,0,0.139056339145927
"601","X2000","CR246202",1.015,1.6985,0.049949614766535,0.0426573511253441,0.0848394206809597,0.0432972113922242,0.128136632073184
"602","X2005","CR246202",1.015,1.6985,0.103964552912253,0.0426573511253441,0.176583793121461,0.0432972113922242,0.219881004513685
"603","X2010","CR246202",1.015,1.6985,0.0972810094954465,0.0426573511253441,0.165231794628016,0.0432972113922242,0.20852900602024
"604","X2012","CR246202",1.015,1.6985,0.105770131399431,0.0426573511253441,0.179650568181934,0.0432972113922242,0.222947779574159
"605","X2015","CR246202",1.015,1.6985,0.0983901466323539,0.0426573511253441,0.167115664055053,0.0432972113922242,0.210412875447277
"606","X2000","CR237173",1.015,1.6985,0.00986366363466527,0,0.016753432683479,0,0.016753432683479
"607","X2005","CR237173",1.015,1.6985,0.0160348157296473,0,0.0272351345168059,0,0.0272351345168059
"608","X2010","CR237173",1.015,1.6985,0.0273862333114266,0,0.0465155172794581,0,0.0465155172794581
"609","X2012","CR237173",1.015,1.6985,0.0294230577952788,0,0.049975063665281,0,0.049975063665281
"610","X2015","CR237173",1.015,1.6985,0.0371190840423001,0,0.0630467642458467,0,0.0630467642458467
"611","X2000","CR245185",1.015,1.6985,0.0132006526352929,0,0.022421308501045,0,0.022421308501045
"612","X2005","CR245185",1.015,1.6985,0.0111029371648666,0,0.0188583387745259,0,0.0188583387745259
