"","ID","CRVl2_NPV","soyarea","Forarea","area_km2","soyperc","forperc"
"179","CR252222",130.130768966486,13304.4513549805,0.241857132669551,2882,4616.39533483014,24.1857132669551
"180","CR252223",98.3743893976521,42193.6823730469,0.191743607658645,2873,14686.2799766957,19.1743607658645
"181","CR253202",62.7795854274958,12824.5502319336,0.882615072320147,3025,4239.52073782929,88.2615072320147
"182","CR253203",44.6897085516924,8445.26379394531,0.957295382475739,3020,2796.44496488255,95.7295382475739
"183","CR253204",5.82172657437937,2143.66059875488,0.973633481010228,3014,711.234438870233,97.3633481010228
"184","CR253207",302.063950070046,6311.21716308594,0.710095306869122,2997,2105.84489926124,71.0095306869122
"185","CR253208",266.535171897879,8329.97509765625,0.66579549702671,2991,2785.01340610373,66.579549702671
"186","CR253209",461.696886788457,11434.7874755859,0.525174358703051,2985,3830.74957306062,52.5174358703051
"187","CR253210",719.769049421776,49179.0151367188,0.43142921472261,2978,16514.1085079647,43.142921472261
"188","CR253211",604.525395139598,46654.3549804688,0.472734975833954,2972,15697.966009579,47.2734975833954
"189","CR253212",455.189696451634,23675.3698730469,0.53885028565361,2965,7984.94768062289,53.885028565361
"190","CR253213",229.947563895755,23636.1340332031,0.628302870042614,2957,7993.28171565882,62.8302870042614
"191","CR253214",293.524418449605,37841.0822753906,0.418324050765173,2950,12827.4855170816,41.8324050765173
"192","CR253215",462.538684438481,36524.7448730469,0.445275454329202,2942,12414.9370744551,44.5275454329202
"193","CR253216",334.132532267679,27804.2634277344,0.494719350595564,2934,9476.57240209079,49.4719350595564
"194","CR253217",378.854256878705,15611.5099487305,0.335272972761925,2926,5335.4442750275,33.5272972761925
"195","CR253218",337.730257547807,14902.3393554688,0.269415148126275,2918,5107.03884697353,26.9415148126275
"196","CR253219",275.172146440526,13550.38671875,0.234819683914539,2909,4658.09099991406,23.4819683914539
"197","CR253220",239.803274746821,7819.59963989258,0.172548909205633,2901,2695.48419162102,17.2548909205633
"198","CR253223",187.714435129101,10675.8325195312,0.27628554038,2873,3715.91803673207,27.628554038
"199","CR253224",128.094258304194,31504.4403076172,0.215247504354327,2863,11003.9959160381,21.5247504354327
"200","CR254205",8.52035989925863,3486.22039794922,0.947252197236722,3009,1158.59767296418,94.7252197236723
"201","CR254207",634.544549912186,9903.55426025391,0.492526531087072,2997,3304.48924266063,49.2526531087072
"202","CR254208",441.331385617371,19563.6129150391,0.557797920462845,2991,6540.82678536913,55.7797920462845
"203","CR254209",257.202340790832,23263.0654296875,0.813146634896503,2985,7793.32175198911,81.3146634896503
"204","CR254210",399.64011410337,30266.513671875,0.650393027703924,2978,10163.3692652367,65.0393027703924
"205","CR254211",627.675252117754,35805.9721679688,0.451928420374584,2972,12047.7699084686,45.1928420374584
"206","CR254212",318.941732956766,20963.5786132812,0.571317862148794,2965,7070.34691847597,57.1317862148794
"207","CR254213",227.140758228794,23618.8905029297,0.56205347987141,2957,7987.45028844426,56.205347987141
"208","CR254214",167.097918140846,29459.7873535156,0.601858903009098,2950,9986.36859441208,60.1858903009098
"209","CR254215",211.552270263455,47041.5471191406,0.393162570405726,2942,15989.6489188105,39.3162570405726
"210","CR254216",242.175478580227,46457.0366210938,0.351603288931062,2934,15834.0274782187,35.1603288931062
"211","CR254217",110.078755423715,32094.4577636719,0.359198864062671,2926,10968.714204946,35.9198864062671
"212","CR254218",270.790189841143,33416.4971923828,0.257780613284188,2918,11451.8496204191,25.7780613284188
"213","CR254219",357.783708033162,11992.0293579102,0.203376575078267,2909,4122.38891643525,20.3376575078267
"214","CR254224",229.728428535321,4320.14640808106,0.223588393252143,2863,1508.95787917606,22.3588393252143
"215","CR255201",134.882030085701,3144.78712463379,0.702880067959127,3029,1038.22618839016,70.2880067959127
"216","CR255202",223.023720502298,5269.66070556641,0.52740662298407,3025,1742.03659688146,52.740662298407
"217","CR255203",213.810287798459,3652.55407714844,0.681029638783028,3020,1209.45499243326,68.1029638783028
"218","CR255204",123.623340549759,10253.8402099609,0.791073109393783,3014,3402.07040808259,79.1073109393783
"219","CR255205",143.623627364306,14337.3063964844,0.785205338246243,3009,4764.80770903435,78.5205338246243
"220","CR255206",156.183005744475,10362.6251831055,0.803089762710982,3003,3450.75763673176,80.3089762710982
"221","CR255207",607.750544009965,24167.1131591797,0.49618169617214,2997,8063.76815454778,49.618169617214
"222","CR255208",424.052812259992,31940.7277832031,0.45203731337108,2991,10678.9460993658,45.203731337108
"223","CR255209",284.596110598542,38440.5109863281,0.448606192466257,2985,12877.8931277481,44.8606192466257
"224","CR255210",482.839180210221,42088.4079589844,0.418528798962515,2978,14133.1121420364,41.8528798962515
"225","CR255211",154.736074333262,10844.8607177734,0.743514304835142,2972,3649.01100867209,74.3514304835142
"226","CR255212",375.038932467339,15832.3430175781,0.5326001665641,2965,5339.74469395552,53.26001665641
"227","CR255213",423.385399009557,26641.9166259766,0.449831383916276,2957,9009.77904158829,44.9831383916276
"228","CR255214",410.752363229017,43538.5363769531,0.404429393656695,2950,14758.8258904926,40.4429393656695
"229","CR255215",152.925086201565,45586.3010253906,0.339521987773851,2942,15495.0037475835,33.9521987773851
"230","CR255216",190.503569212662,39972.2185058594,0.417958322523287,2934,13623.7963550986,41.7958322523287
"231","CR255217",209.638708262528,48642.1298828125,0.500584638765777,2926,16624.1045395805,50.0584638765777
"232","CR255218",149.014205413552,44046.9877929688,0.147507515168655,2918,15094.9238495438,14.7507515168655
"233","CR255219",326.782147542773,21647.2099609375,0.190301846808979,2909,7441.46096972757,19.0301846808979
"234","CR255224",152.567726805663,3935.59387207031,0.204685745966147,2863,1374.63984354534,20.4685745966147
"235","CR256201",370.926805630171,4894.69165039062,0.57015600821682,3029,1615.94310016198,57.015600821682
"236","CR256202",609.468040515792,6861.84698486328,0.40244699930449,3025,2268.37916854984,40.244699930449
"237","CR256203",336.223885462862,4667.80563354492,0.565365751427091,3020,1545.63100448507,56.5365751427091
"238","CR256204",272.330319036222,9986.28851318359,0.620113698547495,3014,3313.30076747963,62.0113698547495
"239","CR256205",553.340095202689,29342.1375732422,0.520278485784574,3009,9751.45814996417,52.0278485784574
"240","CR256206",718.461515216349,24786.8067626953,0.436723358930949,3003,8254.01490599244,43.6723358930949
"241","CR256207",475.958901481678,26526.5284423828,0.458895336507978,2997,8851.02717463557,45.8895336507978
"242","CR256208",388.864125936863,36602.8486328125,0.364953971270375,2991,12237.6625318664,36.4953971270375
"243","CR256209",241.258019570064,33033.7321777344,0.528584645670242,2985,11066.5769439646,52.8584645670242
"244","CR256210",353.140045298371,27229.8041992188,0.482167218513542,2978,9143.65486877728,48.2167218513542
"245","CR256212",276.375871323659,4245.68649291992,0.429652773579843,2965,1431.93473622932,42.9652773579843
"246","CR256213",285.740911907515,7942.89950561523,0.503108837747866,2957,2686.13442868287,50.3108837747866
"247","CR256214",351.607524129063,56974.1064453125,0.37348607534681,2950,19313.2564221398,37.348607534681
"248","CR256215",150.005558321684,55152.4106445312,0.358475308152844,2942,18746.5705793784,35.8475308152844
"249","CR256216",98.8420050708043,50919.2153320312,0.308558331444146,2934,17354.8791179384,30.8558331444146
"250","CR256217",178.00737194024,49031.04296875,0.313326551717006,2926,16757.0208368934,31.3326551717006
"251","CR256218",156.450943814857,54303.7102050781,0.175125430375601,2918,18609.9075411508,17.5125430375601
"252","CR256219",102.308248704615,22954.8896484375,0.164819539829276,2909,7890.98991008508,16.4819539829276
"253","CR257200",249.189674419707,1870.84796142578,0.590563909626438,3034,616.62754166967,59.0563909626438
"254","CR257201",722.976722810507,4698.93862915039,0.434884847860953,3029,1551.31681384958,43.4884847860953
"255","CR257202",732.365199319692,6848.3649597168,0.451867845319288,3025,2263.92230073283,45.1867845319288
"256","CR257203",663.953373721404,6202.14895629883,0.506548525363502,3020,2053.69170738372,50.6548525363502
"257","CR257204",566.915472587867,6929.77230834961,0.452752643597436,3014,2299.19452831772,45.2752643597436
"258","CR257205",482.133584371244,7373.34548950195,0.435427745940404,3009,2450.43053821933,43.5427745940404
"259","CR257206",276.698365806937,4775.42156982422,0.564533413290909,3003,1590.21697296844,56.4533413290909
"260","CR257207",117.91328165375,7116.79336547852,0.75333431297738,2997,2374.63909425376,75.333431297738
"261","CR257208",129.747624057338,26544.8941650391,0.750123484547211,2991,8874.92282348347,75.0123484547211
"262","CR257209",171.406603812732,13210.6802368164,0.818495692239234,2985,4425.68852154653,81.8495692239234
"263","CR257210",283.386077999026,9650.45538330078,0.731324428893351,2978,3240.58273448649,73.1324428893351
"264","CR257212",331.180889017486,4982.27807617188,0.268607118230127,2965,1680.3636007325,26.8607118230127
"265","CR257213",109.216057066586,6782.89880371094,0.283378842859184,2957,2293.84470872876,28.3378842859184
"266","CR257214",151.386566342557,46904.9802246094,0.317094041761377,2950,15899.9932964778,31.7094041761377
"267","CR257215",27.0173802931367,62963.7529296875,0.266575333071882,2942,21401.6835247068,26.6575333071882
"268","CR257216",53.4493163050678,59497.2055664062,0.231216387554332,2934,20278.5295045693,23.1216387554332
"269","CR257217",130.427634525318,56453.7141113281,0.213048450404641,2926,19293.8189033931,21.3048450404641
"270","CR257218",129.460219843116,29823.8439941406,0.253314889479916,2918,10220.6456456959,25.3314889479916
"271","CR257219",8.41249330666175,12741.7337646484,0.238299870817212,2909,4380.10785996852,23.8299870817212
"272","CR258200",486.553069638901,3370.6828918457,0.470049321785798,3034,1110.96997094453,47.0049321785798
"273","CR258201",1099.96053201182,8035.02960205078,0.283768321549883,3029,2652.7004298616,28.3768321549883
"274","CR258202",74.4894204049484,2723.80987548828,0.854760646474331,3025,900.43301669034,85.4760646474331
"275","CR258203",63.7051468157925,3050.56332397461,0.960184133090192,3020,1010.12030595186,96.0184133090192
