"","ID","Country","area_km2","Year","dEDD_luc","soyarea","Forarea","Y0","CD_Bioma","dyl","CRVln","areasoyp","Scenario"
"7239","CR263203","Brazil",3020,"X2050",0.311539083719254,48770,3390,4.245494181633,3,-0.00155648284077836,51.1265446834523,0.161490066225166,"IDC3ZD"
"7240","CR263204","Brazil",3014,"X2050",0.77471786737442,3710,8410,4.25483621263504,3,-0.00386609666732718,3.90260204156985,0.0123092236230922,"IDC3ZD"
"7241","CR263205","Brazil",3009,"X2035",0.620734453201294,4080,6830,3.73488685369492,3,-0.00309886085420807,3.71826024146349,0.0135593220338983,"IDC3ZD"
"7242","CR263205","Brazil",3009,"X2040",0.620734453201294,6440,6830,3.90971134471893,3,-0.00309886085420807,6.14373863677109,0.0214024592888003,"IDC3ZD"
"7243","CR263205","Brazil",3009,"X2045",0.620734453201294,10180,6830,4.07658926796913,3,-0.00309886085420807,10.1262094229268,0.0338318378198737,"IDC3ZD"
"7244","CR263205","Brazil",3009,"X2050",0.620734453201294,16080,6830,4.24346719121933,3,-0.00309886085420807,16.6498016169062,0.0534396809571286,"IDC3ZD"
"7245","CR263208","Brazil",2991,"X2020",1.03406190872192,4570,25200,3.42941054773331,3,-0.00515696649901609,1.72484568499927,0.0152791708458709,"IDC3ZD"
"7246","CR263208","Brazil",2991,"X2025",1.03406190872192,7220,25200,3.61302808117867,3,-0.00515696649901609,2.87093329403559,0.0241390839184219,"IDC3ZD"
"7247","CR263208","Brazil",2991,"X2030",1.03406190872192,11400,25200,3.79664561462402,3,-0.00515696649901609,4.76342662505719,0.0381143430290873,"IDC3ZD"
"7248","CR263208","Brazil",2991,"X2035",1.03406190872192,18020,25200,3.98308803319931,3,-0.00515696649901609,7.89931184568049,0.0602474088933467,"IDC3ZD"
"7249","CR263208","Brazil",2991,"X2040",1.03406190872192,18480,25200,4.1695304517746,3,-0.00515696649901609,8.48015292592419,0.0617853560682046,"IDC3ZD"
"7250","CR263208","Brazil",2991,"X2045",1.03406190872192,29210,25200,4.3474982149601,3,-0.00515696649901609,13.9760851055947,0.0976596456034771,"IDC3ZD"
"7251","CR263208","Brazil",2991,"X2050",1.03406190872192,29080,25200,4.5254659781456,3,-0.00515696649901609,14.4834583139603,0.0972250083584086,"IDC3ZD"
"7252","CR263209","Brazil",2985,"X2015",0.397035300731659,9520,14000,3.17410235118866,3,-0.00198320734404167,2.30207124094821,0.031892797319933,"IDC3ZD"
"7253","CR263209","Brazil",2985,"X2020",0.397035300731659,15040,14000,3.38608106708527,3,-0.00198320734404167,3.87977081614577,0.0503852596314908,"IDC3ZD"
"7254","CR263209","Brazil",2985,"X2025",0.397035300731659,23770,14000,3.56737865304947,3,-0.00198320734404167,6.46010051129033,0.0796314907872697,"IDC3ZD"
"7255","CR263209","Brazil",2985,"X2030",0.397035300731659,11790,14000,3.74867623901367,3,-0.00198320734404167,3.36707370174045,0.0394974874371859,"IDC3ZD"
"7256","CR263209","Brazil",2985,"X2035",0.397035300731659,18630,14000,3.93276301860809,3,-0.00198320734404167,5.58176459314218,0.0624120603015075,"IDC3ZD"
"7257","CR263209","Brazil",2985,"X2040",0.397035300731659,18630,14000,4.11684979820251,3,-0.00198320734404167,5.84303868048075,0.0624120603015075,"IDC3ZD"
"7258","CR263209","Brazil",2985,"X2045",0.397035300731659,29430,14000,4.29256899690628,3,-0.00198320734404167,9.62428401957234,0.0985929648241206,"IDC3ZD"
"7259","CR263209","Brazil",2985,"X2050",0.397035300731659,34420,14000,4.46828819561005,3,-0.00198320734404167,11.7169054848665,0.115309882747069,"IDC3ZD"
"7260","CR263210","Brazil",2978,"X2015",1.07655429840088,8450,42480,3.17599508190155,3,-0.005368310336204,1.82393952219105,0.0283747481531229,"IDC3ZD"
"7261","CR263210","Brazil",2978,"X2020",1.07655429840088,8450,42480,3.38810020160675,3,-0.005368310336204,1.94574919151136,0.0283747481531229,"IDC3ZD"
"7262","CR263210","Brazil",2978,"X2025",1.07655429840088,5740,42480,3.56950589609146,3,-0.005368310336204,1.39249581894788,0.0192746809939557,"IDC3ZD"
"7263","CR263210","Brazil",2978,"X2030",1.07655429840088,4940,42480,3.75091159057617,3,-0.005368310336204,1.2593245812808,0.0165883143049026,"IDC3ZD"
"7264","CR263210","Brazil",2978,"X2035",1.07655429840088,7810,42480,3.93510814189911,3,-0.005368310336204,2.08872665761795,0.0262256548018805,"IDC3ZD"
"7265","CR263210","Brazil",2978,"X2040",1.07655429840088,12330,42480,4.11930469322205,3,-0.005368310336204,3.4519213901183,0.0414036265950302,"IDC3ZD"
"7266","CR263210","Brazil",2978,"X2045",1.07655429840088,19490,42480,4.2951286740303,3,-0.005368310336204,5.68934043962395,0.0654466084620551,"IDC3ZD"
"7267","CR263210","Brazil",2978,"X2050",1.07655429840088,30790,42480,4.47095265483856,3,-0.005368310336204,9.35585890506507,0.103391537944929,"IDC3ZD"
"7268","CR263211","Brazil",2972,"X2015",0.624381005764008,14710,23970,3.10710983133316,3,-0.0031170369505259,3.19642112558551,0.0494952893674293,"IDC3ZD"
"7269","CR263211","Brazil",2972,"X2020",0.624381005764008,23230,23970,3.31461453008652,3,-0.0031170369505259,5.38489146195424,0.0781628532974428,"IDC3ZD"
"7270","CR263211","Brazil",2972,"X2025",0.624381005764008,3130,23970,3.49208565402031,3,-0.0031170369505259,0.764405739996267,0.0105316285329744,"IDC3ZD"
"7271","CR263211","Brazil",2972,"X2030",0.624381005764008,4950,23970,3.6695567779541,3,-0.0031170369505259,1.27032113923047,0.0166554508748318,"IDC3ZD"
"7272","CR263211","Brazil",2972,"X2035",0.624381005764008,7820,23970,3.84975822687149,3,-0.0031170369505259,2.10540147687936,0.0263122476446837,"IDC3ZD"
"7273","CR263211","Brazil",2972,"X2040",0.624381005764008,12360,23970,4.02995967578888,3,-0.0031170369505259,3.48348452660408,0.0415881561238223,"IDC3ZD"
"7274","CR263211","Brazil",2972,"X2045",0.624381005764008,19530,23970,4.20197014975548,3,-0.0031170369505259,5.73918098783585,0.0657133243606999,"IDC3ZD"
"7275","CR263211","Brazil",2972,"X2050",0.624381005764008,30860,23970,4.37398062372208,3,-0.0031170369505259,9.43990211510297,0.103835800807537,"IDC3ZD"
"7276","CR263212","Brazil",2965,"X2015",1.10895276069641,7180,32940,3.10718932819366,3,-0.00552941997306799,2.01404393818201,0.0242158516020236,"IDC3ZD"
"7277","CR263212","Brazil",2965,"X2020",1.10895276069641,11340,32940,3.31469933605194,3,-0.00552941997306799,3.39339156395262,0.0382462057335582,"IDC3ZD"
"7278","CR263212","Brazil",2965,"X2025",1.10895276069641,17920,32940,3.49217500066757,3,-0.00552941997306799,5.64951003435039,0.0604384485666105,"IDC3ZD"
"7279","CR263212","Brazil",2965,"X2030",1.10895276069641,12270,32940,3.6696506652832,3,-0.00552941997306799,4.06486443245578,0.0413827993254637,"IDC3ZD"
"7280","CR263213","Brazil",2957,"X2015",0.314882874488831,26300,8580,3.17571833515167,3,-0.00157317563231807,8.23585033369482,0.0889414947582009,"IDC3ZD"
"7281","CR263213","Brazil",2957,"X2020",0.314882874488831,41550,8580,3.38780497264862,3,-0.00157317563231807,13.8803414628136,0.14051403449442,"IDC3ZD"
"7282","CR263213","Brazil",2957,"X2025",0.314882874488831,45500,8580,3.56919485998154,3,-0.00157317563231807,16.0137253751897,0.153872167737572,"IDC3ZD"
"7283","CR263213","Brazil",2957,"X2030",0.314882874488831,45050,8580,3.75058474731445,3,-0.00157317563231807,16.6611317742516,0.152350355089618,"IDC3ZD"
"7284","CR263213","Brazil",2957,"X2035",0.314882874488831,3180,8580,3.93476524829864,3,-0.00157317563231807,1.23383381311422,0.0107541427122083,"IDC3ZD"
"7285","CR263213","Brazil",2957,"X2040",0.314882874488831,5030,8580,4.11894574928284,3,-0.00157317563231807,2.04298311745119,0.0170104835982415,"IDC3ZD"
"7286","CR263213","Brazil",2957,"X2045",0.314882874488831,7950,8580,4.2947544093132,3,-0.00157317563231807,3.36679120280637,0.0268853567805208,"IDC3ZD"
"7287","CR263213","Brazil",2957,"X2050",0.314882874488831,12560,8580,4.47056306934357,3,-0.00157317563231807,5.53684781072503,0.0424754819073385,"IDC3ZD"
"7288","CR263214","Brazil",2950,"X2015",0.0565265566110611,62540,1310,3.23838438081741,3,-0.000282592846172824,23.4961625915145,0.212,"IDC3ZD"
"7289","CR263214","Brazil",2950,"X2020",0.0565265566110611,68660,1310,3.45465609693527,3,-0.000282592846172824,27.5181532967517,0.232745762711864,"IDC3ZD"
"7290","CR263214","Brazil",2950,"X2025",0.0565265566110611,68480,1310,3.63962532782555,3,-0.000282592846172824,28.9155259375284,0.232135593220339,"IDC3ZD"
"7291","CR263214","Brazil",2950,"X2030",0.0565265566110611,12730,1310,3.82459455871582,3,-0.000282592846172824,5.64838735641854,0.0431525423728814,"IDC3ZD"
"7292","CR263214","Brazil",2950,"X2035",0.0565265566110611,20120,1310,4.01240947008133,3,-0.000282592846172824,9.36577863687372,0.0682033898305085,"IDC3ZD"
"7293","CR263214","Brazil",2950,"X2040",0.0565265566110611,31790,1310,4.20022438144684,3,-0.000282592846172824,15.4907942356688,0.107762711864407,"IDC3ZD"
"7294","CR263214","Brazil",2950,"X2045",0.0565265566110611,50220,1310,4.37950225138664,3,-0.000282592846172824,25.5159726547913,0.170237288135593,"IDC3ZD"
"7295","CR263214","Brazil",2950,"X2050",0.0565265566110611,79350,1310,4.55878012132645,3,-0.000282592846172824,41.9668374436769,0.268983050847458,"IDC3ZD"
"7296","CR263215","Brazil",2942,"X2045",0.619400501251221,3880,13100,4.23694115138054,3,-0.0030922117409411,2.08690598516368,0.0131883072739633,"IDC3ZD"
"7297","CR263215","Brazil",2942,"X2050",0.619400501251221,6130,13100,4.41038318681717,3,-0.0030922117409411,3.43206516647299,0.0208361658735554,"IDC3ZD"
"7298","CR263216","Brazil",2934,"X2015",0.816876471042633,15720,16230,2.90282894659042,3,-0.00407605261008159,6.16333885865579,0.0535787321063395,"IDC3ZD"
"7299","CR263216","Brazil",2934,"X2020",0.816876471042633,20940,16230,3.09669098520279,3,-0.00407605261008159,8.75823524486657,0.0713701431492842,"IDC3ZD"
"7300","CR263216","Brazil",2934,"X2025",0.816876471042633,18320,16230,3.26249404454231,3,-0.00407605261008159,8.07267104759724,0.0624403544648943,"IDC3ZD"
"7301","CR263216","Brazil",2934,"X2030",0.816876471042633,3540,16230,3.42829710388184,3,-0.00407605261008159,1.63916915351685,0.0120654396728016,"IDC3ZD"
"7302","CR263216","Brazil",2934,"X2035",0.816876471042633,5590,16230,3.59665097951889,3,-0.00407605261008159,2.71551472775097,0.019052488070893,"IDC3ZD"
"7303","CR263216","Brazil",2934,"X2040",0.816876471042633,8840,16230,3.76500485515594,3,-0.00407605261008159,4.49531225787414,0.0301295160190866,"IDC3ZD"
"7304","CR263216","Brazil",2934,"X2045",0.816876471042633,13960,16230,3.92570628190041,3,-0.00407605261008159,7.401935223421,0.0475800954328562,"IDC3ZD"
"7305","CR263216","Brazil",2934,"X2050",0.816876471042633,22060,16230,4.08640770864487,3,-0.00407605261008159,12.1755688781241,0.0751874573960463,"IDC3ZD"
"7306","CR263218","Brazil",2918,"X2015",0.0141229685395956,58140,220,3.03359042930603,3,-7.06123495286537e-05,30.4446336408288,0.199246058944483,"IDC3ZD"
"7307","CR263218","Brazil",2918,"X2020",0.0141229685395956,27470,220,3.23618522071838,3,-7.06123495286537e-05,15.3451383718633,0.0941398217957505,"IDC3ZD"
"7308","CR263218","Brazil",2918,"X2025",0.0141229685395956,39580,220,3.40945708179474,3,-7.06123495286537e-05,23.2937707594725,0.13564084989719,"IDC3ZD"
"7309","CR263218","Brazil",2918,"X2030",0.0141229685395956,62530,220,3.58272894287109,3,-7.06123495286537e-05,38.6706222338603,0.214290610006854,"IDC3ZD"
"7310","CR263218","Brazil",2918,"X2035",0.0141229685395956,98800,220,3.75866652488708,3,-7.06123495286537e-05,64.1016959734876,0.338588074023304,"IDC3ZD"
